Country	City	State	Bam	lat	long	loc		""""	","
US	Akutan	Alaska	"""Akutan, Alaska"","	54.143	-165.7854	"54.143, -165.7854"			
US	Cold Bay	Alaska	"""Cold Bay, Alaska"","	55.3976	-162.4206	"55.3976, -162.4206"			
US	False Pass	Alaska	"""False Pass, Alaska"","	54.841	-163.4368	"54.841, -163.4368"			
US	King Cove	Alaska	"""King Cove, Alaska"","	55.0628	-162.3056	"55.0628, -162.3056"			
US	Sand Point	Alaska	"""Sand Point, Alaska"","	55.3192	-160.4914	"55.3192, -160.4914"			
US	Adak	Alaska	"""Adak, Alaska"","	51.88	-176.6581	"51.88, -176.6581"			
US	Atka	Alaska	"""Atka, Alaska"","	52.1224	-174.4301	"52.1224, -174.4301"			
US	Saint George Island	Alaska	"""Saint George Island, Alaska"","	56.5944	-169.6186	"56.5944, -169.6186"			
US	Nikolski	Alaska	"""Nikolski, Alaska"","	52.9883	-168.7884	"52.9883, -168.7884"			
US	Saint Paul Island	Alaska	"""Saint Paul Island, Alaska"","	57.1842	-170.2764	"57.1842, -170.2764"			
US	Unalaska	Alaska	"""Unalaska, Alaska"","	53.8871	-166.5199	"53.8871, -166.5199"			
US	Dutch Harbor	Alaska	"""Dutch Harbor, Alaska"","	53.3628	-167.5107	"53.3628, -167.5107"			
US	Anchorage	Alaska	"""Anchorage, Alaska"","	61.2116	-149.8761	"61.2116, -149.8761"			
US	Fort Richardson	Alaska	"""Fort Richardson, Alaska"","	61.2753	-149.6755	"61.2753, -149.6755"			
US	Elmendorf Afb	Alaska	"""Elmendorf Afb, Alaska"","	61.2515	-149.8127	"61.2515, -149.8127"			
US	Indian	Alaska	"""Indian, Alaska"","	61.1089	-149.4403	"61.1089, -149.4403"			
US	Chugiak	Alaska	"""Chugiak, Alaska"","	61.4098	-149.4537	"61.4098, -149.4537"			
US	Eagle River	Alaska	"""Eagle River, Alaska"","	61.3114	-149.5085	"61.3114, -149.5085"			
US	Girdwood	Alaska	"""Girdwood, Alaska"","	60.9577	-149.1406	"60.9577, -149.1406"			
US	Kongiganak	Alaska	"""Kongiganak, Alaska"","	59.9599	-162.8919	"59.9599, -162.8919"			
US	Akiachak	Alaska	"""Akiachak, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	Akiak	Alaska	"""Akiak, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	Aniak	Alaska	"""Aniak, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	Bethel	Alaska	"""Bethel, Alaska"","	60.13	-162.1739	"60.13, -162.1739"			
US	Chefornak	Alaska	"""Chefornak, Alaska"","	60.1537	-164.2103	"60.1537, -164.2103"			
US	Crooked Creek	Alaska	"""Crooked Creek, Alaska"","	61.8181	-158.0025	"61.8181, -158.0025"			
US	Eek	Alaska	"""Eek, Alaska"","	60.2151	-162.0323	"60.2151, -162.0323"			
US	Goodnews Bay	Alaska	"""Goodnews Bay, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	Kalskag	Alaska	"""Kalskag, Alaska"","	61.541	-160.3261	"61.541, -160.3261"			
US	Kasigluk	Alaska	"""Kasigluk, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	Kipnuk	Alaska	"""Kipnuk, Alaska"","	59.9232	-164.101	"59.9232, -164.101"			
US	Kwethluk	Alaska	"""Kwethluk, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	Kwigillingok	Alaska	"""Kwigillingok, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	Lower Kalskag	Alaska	"""Lower Kalskag, Alaska"","	61.5138	-160.36	"61.5138, -160.36"			
US	Mekoryuk	Alaska	"""Mekoryuk, Alaska"","	60.3657	-166.2836	"60.3657, -166.2836"			
US	Napakiak	Alaska	"""Napakiak, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	Toksook Bay	Alaska	"""Toksook Bay, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	Nunapitchuk	Alaska	"""Nunapitchuk, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	Platinum	Alaska	"""Platinum, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	Quinhagak	Alaska	"""Quinhagak, Alaska"","	59.7381	-161.8749	"59.7381, -161.8749"			
US	Red Devil	Alaska	"""Red Devil, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	Sleetmute	Alaska	"""Sleetmute, Alaska"","	61.6346	-157.1183	"61.6346, -157.1183"			
US	Tuluksak	Alaska	"""Tuluksak, Alaska"","	61.1088	-160.9389	"61.1088, -160.9389"			
US	Tuntutuliak	Alaska	"""Tuntutuliak, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	Tununak	Alaska	"""Tununak, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	Nightmute	Alaska	"""Nightmute, Alaska"","	60.3147	-163.1189	"60.3147, -163.1189"			
US	King Salmon	Alaska	"""King Salmon, Alaska"","	58.7456	-157.1595	"58.7456, -157.1595"			
US	Naknek	Alaska	"""Naknek, Alaska"","	58.783	-156.8992	"58.783, -156.8992"			
US	South Naknek	Alaska	"""South Naknek, Alaska"","	58.6639	-156.9756	"58.6639, -156.9756"			
US	Clear	Alaska	"""Clear, Alaska"","	64.2966	-149.1608	"64.2966, -149.1608"			
US	Cantwell	Alaska	"""Cantwell, Alaska"","	63.3955	-148.8974	"63.3955, -148.8974"			
US	Healy	Alaska	"""Healy, Alaska"","	63.9171	-149.0111	"63.9171, -149.0111"			
US	Anderson	Alaska	"""Anderson, Alaska"","	63.5436	-149.9867	"63.5436, -149.9867"			
US	Denali National Park	Alaska	"""Denali National Park, Alaska"","	63.5436	-149.9867	"63.5436, -149.9867"			
US	Aleknagik	Alaska	"""Aleknagik, Alaska"","	59.2697	-158.6199	"59.2697, -158.6199"			
US	Clarks Point	Alaska	"""Clarks Point, Alaska"","	58.8173	-158.5299	"58.8173, -158.5299"			
US	Dillingham	Alaska	"""Dillingham, Alaska"","	59.0402	-158.5231	"59.0402, -158.5231"			
US	Ekwok	Alaska	"""Ekwok, Alaska"","	59.3628	-157.4782	"59.3628, -157.4782"			
US	Manokotak	Alaska	"""Manokotak, Alaska"","	59.0096	-158.9897	"59.0096, -158.9897"			
US	New Stuyahok	Alaska	"""New Stuyahok, Alaska"","	59.4882	-157.2905	"59.4882, -157.2905"			
US	Togiak	Alaska	"""Togiak, Alaska"","	59.3292	-160.1123	"59.3292, -160.1123"			
US	Fairbanks	Alaska	"""Fairbanks, Alaska"","	64.644	-147.5221	"64.644, -147.5221"			
US	Eielson Afb	Alaska	"""Eielson Afb, Alaska"","	64.6735	-147.0805	"64.6735, -147.0805"			
US	Fort Wainwright	Alaska	"""Fort Wainwright, Alaska"","	64.8283	-147.6557	"64.8283, -147.6557"			
US	North Pole	Alaska	"""North Pole, Alaska"","	64.7805	-147.3694	"64.7805, -147.3694"			
US	Salcha	Alaska	"""Salcha, Alaska"","	64.509	-146.953	"64.509, -146.953"			
US	Two Rivers	Alaska	"""Two Rivers, Alaska"","	64.8746	-146.8982	"64.8746, -146.8982"			
US	Ester	Alaska	"""Ester, Alaska"","	64.871	-148.0949	"64.871, -148.0949"			
US	Haines	Alaska	"""Haines, Alaska"","	59.2519	-135.542	"59.2519, -135.542"			
US	Juneau	Alaska	"""Juneau, Alaska"","	58.3628	-134.5294	"58.3628, -134.5294"			
US	Auke Bay	Alaska	"""Auke Bay, Alaska"","	58.4494	-134.7003	"58.4494, -134.7003"			
US	Douglas	Alaska	"""Douglas, Alaska"","	58.2756	-134.395	"58.2756, -134.395"			
US	Anchor Point	Alaska	"""Anchor Point, Alaska"","	59.8371	-151.7078	"59.8371, -151.7078"			
US	Clam Gulch	Alaska	"""Clam Gulch, Alaska"","	60.2016	-151.4226	"60.2016, -151.4226"			
US	Cooper Landing	Alaska	"""Cooper Landing, Alaska"","	60.4767	-149.8235	"60.4767, -149.8235"			
US	Homer	Alaska	"""Homer, Alaska"","	59.5374	-151.2356	"59.5374, -151.2356"			
US	Hope	Alaska	"""Hope, Alaska"","	60.8726	-149.4683	"60.8726, -149.4683"			
US	Kasilof	Alaska	"""Kasilof, Alaska"","	60.3164	-151.2896	"60.3164, -151.2896"			
US	Kenai	Alaska	"""Kenai, Alaska"","	60.6145	-151.2546	"60.6145, -151.2546"			
US	Moose Pass	Alaska	"""Moose Pass, Alaska"","	60.6148	-149.4056	"60.6148, -149.4056"			
US	Nikiski	Alaska	"""Nikiski, Alaska"","	60.7007	-151.2766	"60.7007, -151.2766"			
US	Ninilchik	Alaska	"""Ninilchik, Alaska"","	60.0108	-151.6396	"60.0108, -151.6396"			
US	Seldovia	Alaska	"""Seldovia, Alaska"","	59.4495	-151.7009	"59.4495, -151.7009"			
US	Seward	Alaska	"""Seward, Alaska"","	60.1329	-149.3985	"60.1329, -149.3985"			
US	Soldotna	Alaska	"""Soldotna, Alaska"","	60.4818	-151.1358	"60.4818, -151.1358"			
US	Sterling	Alaska	"""Sterling, Alaska"","	60.5136	-150.8532	"60.5136, -150.8532"			
US	Tyonek	Alaska	"""Tyonek, Alaska"","	60.0366	-151.6556	"60.0366, -151.6556"			
US	Ketchikan	Alaska	"""Ketchikan, Alaska"","	55.372	-131.6832	"55.372, -131.6832"			
US	Ward Cove	Alaska	"""Ward Cove, Alaska"","	55.3954	-131.6754	"55.3954, -131.6754"			
US	Port Lions	Alaska	"""Port Lions, Alaska"","	57.7012	-153.5056	"57.7012, -153.5056"			
US	Karluk	Alaska	"""Karluk, Alaska"","	58.2687	-155.7971	"58.2687, -155.7971"			
US	Kodiak	Alaska	"""Kodiak, Alaska"","	57.6036	-153.3751	"57.6036, -153.3751"			
US	Larsen Bay	Alaska	"""Larsen Bay, Alaska"","	58.2687	-155.7971	"58.2687, -155.7971"			
US	Old Harbor	Alaska	"""Old Harbor, Alaska"","	58.2687	-155.7971	"58.2687, -155.7971"			
US	Ouzinkie	Alaska	"""Ouzinkie, Alaska"","	58.2687	-155.7971	"58.2687, -155.7971"			
US	Chignik Lake	Alaska	"""Chignik Lake, Alaska"","	56.2448	-158.7578	"56.2448, -158.7578"			
US	Port Heiden	Alaska	"""Port Heiden, Alaska"","	56.9643	-158.5664	"56.9643, -158.5664"			
US	Chignik	Alaska	"""Chignik, Alaska"","	56.3016	-158.4157	"56.3016, -158.4157"			
US	Chignik Lagoon	Alaska	"""Chignik Lagoon, Alaska"","	58.2687	-156.6484	"58.2687, -156.6484"			
US	Egegik	Alaska	"""Egegik, Alaska"","	58.2062	-157.3422	"58.2062, -157.3422"			
US	Iliamna	Alaska	"""Iliamna, Alaska"","	59.7525	-154.8236	"59.7525, -154.8236"			
US	Levelock	Alaska	"""Levelock, Alaska"","	59.2905	-156.6503	"59.2905, -156.6503"			
US	Nondalton	Alaska	"""Nondalton, Alaska"","	58.2687	-156.6484	"58.2687, -156.6484"			
US	Pedro Bay	Alaska	"""Pedro Bay, Alaska"","	59.8681	-154.0757	"59.8681, -154.0757"			
US	Perryville	Alaska	"""Perryville, Alaska"","	55.9453	-159.2593	"55.9453, -159.2593"			
US	Pilot Point	Alaska	"""Pilot Point, Alaska"","	57.5952	-157.4493	"57.5952, -157.4493"			
US	Port Alsworth	Alaska	"""Port Alsworth, Alaska"","	58.2687	-156.6484	"58.2687, -156.6484"			
US	Wasilla	Alaska	"""Wasilla, Alaska"","	61.5463	-149.5901	"61.5463, -149.5901"			
US	Palmer	Alaska	"""Palmer, Alaska"","	61.6303	-148.9872	"61.6303, -148.9872"			
US	Big Lake	Alaska	"""Big Lake, Alaska"","	61.523	-149.7288	"61.523, -149.7288"			
US	Skwentna	Alaska	"""Skwentna, Alaska"","	62.2804	-149.7152	"62.2804, -149.7152"			
US	Sutton	Alaska	"""Sutton, Alaska"","	61.7327	-148.7837	"61.7327, -148.7837"			
US	Talkeetna	Alaska	"""Talkeetna, Alaska"","	62.2605	-150.1101	"62.2605, -150.1101"			
US	Trapper Creek	Alaska	"""Trapper Creek, Alaska"","	62.5019	-151.0043	"62.5019, -151.0043"			
US	Willow	Alaska	"""Willow, Alaska"","	61.8966	-150.0038	"61.8966, -150.0038"			
US	Houston	Alaska	"""Houston, Alaska"","	62.2804	-149.7152	"62.2804, -149.7152"			
US	Saint Michael	Alaska	"""Saint Michael, Alaska"","	63.4776	-162.1091	"63.4776, -162.1091"			
US	Stebbins	Alaska	"""Stebbins, Alaska"","	64.7556	-165.6723	"64.7556, -165.6723"			
US	Unalakleet	Alaska	"""Unalakleet, Alaska"","	63.8835	-160.7884	"63.8835, -160.7884"			
US	Elim	Alaska	"""Elim, Alaska"","	64.6217	-162.2604	"64.6217, -162.2604"			
US	Gambell	Alaska	"""Gambell, Alaska"","	63.7766	-171.7017	"63.7766, -171.7017"			
US	Koyuk	Alaska	"""Koyuk, Alaska"","	64.7556	-165.6723	"64.7556, -165.6723"			
US	Nome	Alaska	"""Nome, Alaska"","	64.8393	-164.4361	"64.8393, -164.4361"			
US	Savoonga	Alaska	"""Savoonga, Alaska"","	63.6797	-170.4709	"63.6797, -170.4709"			
US	Shaktoolik	Alaska	"""Shaktoolik, Alaska"","	64.3755	-161.1746	"64.3755, -161.1746"			
US	Shishmaref	Alaska	"""Shishmaref, Alaska"","	66.2306	-166.1373	"66.2306, -166.1373"			
US	Teller	Alaska	"""Teller, Alaska"","	65.2402	-166.3833	"65.2402, -166.3833"			
US	Wales	Alaska	"""Wales, Alaska"","	64.7556	-165.6723	"64.7556, -165.6723"			
US	White Mountain	Alaska	"""White Mountain, Alaska"","	64.7028	-163.4218	"64.7028, -163.4218"			
US	Brevig Mission	Alaska	"""Brevig Mission, Alaska"","	65.3342	-166.4786	"65.3342, -166.4786"			
US	Anaktuvuk Pass	Alaska	"""Anaktuvuk Pass, Alaska"","	66.6933	-153.994	"66.6933, -153.994"			
US	Barrow	Alaska	"""Barrow, Alaska"","	71.2346	-156.8174	"71.2346, -156.8174"			
US	Prudhoe Bay	Alaska	"""Prudhoe Bay, Alaska"","	66.6933	-153.994	"66.6933, -153.994"			
US	Kaktovik	Alaska	"""Kaktovik, Alaska"","	66.6933	-153.994	"66.6933, -153.994"			
US	Point Lay	Alaska	"""Point Lay, Alaska"","	68.887	-164.2497	"68.887, -164.2497"			
US	Point Hope	Alaska	"""Point Hope, Alaska"","	66.6933	-153.994	"66.6933, -153.994"			
US	Wainwright	Alaska	"""Wainwright, Alaska"","	66.6933	-153.994	"66.6933, -153.994"			
US	Nuiqsut	Alaska	"""Nuiqsut, Alaska"","	70.1927	-150.9971	"70.1927, -150.9971"			
US	Atqasuk	Alaska	"""Atqasuk, Alaska"","	70.4947	-157.4411	"70.4947, -157.4411"			
US	Buckland	Alaska	"""Buckland, Alaska"","	66.8684	-159.8439	"66.8684, -159.8439"			
US	Deering	Alaska	"""Deering, Alaska"","	66.8684	-159.8439	"66.8684, -159.8439"			
US	Kiana	Alaska	"""Kiana, Alaska"","	66.8684	-159.8439	"66.8684, -159.8439"			
US	Kivalina	Alaska	"""Kivalina, Alaska"","	66.8684	-159.8439	"66.8684, -159.8439"			
US	Kobuk	Alaska	"""Kobuk, Alaska"","	66.8684	-159.8439	"66.8684, -159.8439"			
US	Kotzebue	Alaska	"""Kotzebue, Alaska"","	66.8653	-161.7808	"66.8653, -161.7808"			
US	Noatak	Alaska	"""Noatak, Alaska"","	66.8684	-159.8439	"66.8684, -159.8439"			
US	Noorvik	Alaska	"""Noorvik, Alaska"","	66.8364	-161.0441	"66.8364, -161.0441"			
US	Selawik	Alaska	"""Selawik, Alaska"","	66.8684	-159.8439	"66.8684, -159.8439"			
US	Shungnak	Alaska	"""Shungnak, Alaska"","	66.8684	-159.8439	"66.8684, -159.8439"			
US	Ambler	Alaska	"""Ambler, Alaska"","	66.8684	-159.8439	"66.8684, -159.8439"			
US	Meyers Chuck	Alaska	"""Meyers Chuck, Alaska"","	55.5179	-132.0032	"55.5179, -132.0032"			
US	Coffman Cove	Alaska	"""Coffman Cove, Alaska"","	55.9524	-132.7503	"55.9524, -132.7503"			
US	Thorne Bay	Alaska	"""Thorne Bay, Alaska"","	55.6609	-132.5138	"55.6609, -132.5138"			
US	Craig	Alaska	"""Craig, Alaska"","	55.4732	-133.1171	"55.4732, -133.1171"			
US	Hydaburg	Alaska	"""Hydaburg, Alaska"","	55.2087	-132.8259	"55.2087, -132.8259"			
US	Hyder	Alaska	"""Hyder, Alaska"","	55.5179	-132.0032	"55.5179, -132.0032"			
US	Klawock	Alaska	"""Klawock, Alaska"","	55.5526	-133.0555	"55.5526, -133.0555"			
US	Metlakatla	Alaska	"""Metlakatla, Alaska"","	55.1215	-131.579	"55.1215, -131.579"			
US	Point Baker	Alaska	"""Point Baker, Alaska"","	55.5179	-132.0032	"55.5179, -132.0032"			
US	Sitka	Alaska	"""Sitka, Alaska"","	57.0514	-135.3166	"57.0514, -135.3166"			
US	Yakutat	Alaska	"""Yakutat, Alaska"","	59.812	-139.5505	"59.812, -139.5505"			
US	Angoon	Alaska	"""Angoon, Alaska"","	57.5005	-134.586	"57.5005, -134.586"			
US	Elfin Cove	Alaska	"""Elfin Cove, Alaska"","	58.3318	-135.1813	"58.3318, -135.1813"			
US	Gustavus	Alaska	"""Gustavus, Alaska"","	58.4284	-135.7615	"58.4284, -135.7615"			
US	Hoonah	Alaska	"""Hoonah, Alaska"","	58.0977	-135.4316	"58.0977, -135.4316"			
US	Pelican	Alaska	"""Pelican, Alaska"","	58.3318	-135.1813	"58.3318, -135.1813"			
US	Skagway	Alaska	"""Skagway, Alaska"","	59.4685	-135.3018	"59.4685, -135.3018"			
US	Tenakee Springs	Alaska	"""Tenakee Springs, Alaska"","	57.7943	-135.1844	"57.7943, -135.1844"			
US	Fort Greely	Alaska	"""Fort Greely, Alaska"","	63.952	-146.451	"63.952, -146.451"			
US	Chicken	Alaska	"""Chicken, Alaska"","	63.8706	-144.0026	"63.8706, -144.0026"			
US	Delta Junction	Alaska	"""Delta Junction, Alaska"","	63.7964	-145.0726	"63.7964, -145.0726"			
US	Eagle	Alaska	"""Eagle, Alaska"","	63.8706	-144.0026	"63.8706, -144.0026"			
US	Northway	Alaska	"""Northway, Alaska"","	63.8706	-144.0026	"63.8706, -144.0026"			
US	Tanacross	Alaska	"""Tanacross, Alaska"","	63.8706	-144.0026	"63.8706, -144.0026"			
US	Tetlin	Alaska	"""Tetlin, Alaska"","	63.8706	-144.0026	"63.8706, -144.0026"			
US	Tok	Alaska	"""Tok, Alaska"","	63.8706	-144.0026	"63.8706, -144.0026"			
US	Chitina	Alaska	"""Chitina, Alaska"","	61.471	-144.991	"61.471, -144.991"			
US	Copper Center	Alaska	"""Copper Center, Alaska"","	61.471	-144.991	"61.471, -144.991"			
US	Cordova	Alaska	"""Cordova, Alaska"","	60.5362	-145.7534	"60.5362, -145.7534"			
US	Gakona	Alaska	"""Gakona, Alaska"","	62.6682	-144.1105	"62.6682, -144.1105"			
US	Glennallen	Alaska	"""Glennallen, Alaska"","	62.1039	-145.6617	"62.1039, -145.6617"			
US	Tatitlek	Alaska	"""Tatitlek, Alaska"","	60.8906	-146.6703	"60.8906, -146.6703"			
US	Valdez	Alaska	"""Valdez, Alaska"","	61.101	-146.9	"61.101, -146.9"			
US	Whittier	Alaska	"""Whittier, Alaska"","	60.7734	-148.6839	"60.7734, -148.6839"			
US	Alakanuk	Alaska	"""Alakanuk, Alaska"","	62.6944	-164.6475	"62.6944, -164.6475"			
US	Chevak	Alaska	"""Chevak, Alaska"","	61.529	-165.5905	"61.529, -165.5905"			
US	Emmonak	Alaska	"""Emmonak, Alaska"","	62.7818	-164.5335	"62.7818, -164.5335"			
US	Marshall	Alaska	"""Marshall, Alaska"","	61.9287	-162.268	"61.9287, -162.268"			
US	Hooper Bay	Alaska	"""Hooper Bay, Alaska"","	61.527	-166.1151	"61.527, -166.1151"			
US	Kotlik	Alaska	"""Kotlik, Alaska"","	63.0295	-163.5542	"63.0295, -163.5542"			
US	Mountain Village	Alaska	"""Mountain Village, Alaska"","	62.1123	-163.6644	"62.1123, -163.6644"			
US	Pilot Station	Alaska	"""Pilot Station, Alaska"","	61.9462	-162.8747	"61.9462, -162.8747"			
US	Russian Mission	Alaska	"""Russian Mission, Alaska"","	61.7744	-161.3939	"61.7744, -161.3939"			
US	Saint Marys	Alaska	"""Saint Marys, Alaska"","	62.1172	-163.2376	"62.1172, -163.2376"			
US	Scammon Bay	Alaska	"""Scammon Bay, Alaska"","	61.845	-165.5819	"61.845, -165.5819"			
US	Sheldon Point	Alaska	"""Sheldon Point, Alaska"","	62.1172	-163.2376	"62.1172, -163.2376"			
US	Kake	Alaska	"""Kake, Alaska"","	56.9736	-133.936	"56.9736, -133.936"			
US	Petersburg	Alaska	"""Petersburg, Alaska"","	56.8271	-133.1607	"56.8271, -133.1607"			
US	Port Alexander	Alaska	"""Port Alexander, Alaska"","	56.536	-132.8279	"56.536, -132.8279"			
US	Wrangell	Alaska	"""Wrangell, Alaska"","	56.4335	-132.3529	"56.4335, -132.3529"			
US	Anvik	Alaska	"""Anvik, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Flat	Alaska	"""Flat, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Grayling	Alaska	"""Grayling, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Holy Cross	Alaska	"""Holy Cross, Alaska"","	62.1926	-159.8251	"62.1926, -159.8251"			
US	Mc Grath	Alaska	"""Mc Grath, Alaska"","	62.9457	-155.5712	"62.9457, -155.5712"			
US	Shageluk	Alaska	"""Shageluk, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Takotna	Alaska	"""Takotna, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Nikolai	Alaska	"""Nikolai, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Allakaket	Alaska	"""Allakaket, Alaska"","	66.5432	-152.7122	"66.5432, -152.7122"			
US	Arctic Village	Alaska	"""Arctic Village, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Beaver	Alaska	"""Beaver, Alaska"","	66.9297	-149.193	"66.9297, -149.193"			
US	Bettles Field	Alaska	"""Bettles Field, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Central	Alaska	"""Central, Alaska"","	65.4681	-144.7489	"65.4681, -144.7489"			
US	Circle	Alaska	"""Circle, Alaska"","	65.8245	-144.0826	"65.8245, -144.0826"			
US	Fort Yukon	Alaska	"""Fort Yukon, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Galena	Alaska	"""Galena, Alaska"","	65.8263	-154.4373	"65.8263, -154.4373"			
US	Hughes	Alaska	"""Hughes, Alaska"","	66.0382	-154.2644	"66.0382, -154.2644"			
US	Huslia	Alaska	"""Huslia, Alaska"","	65.6899	-156.292	"65.6899, -156.292"			
US	Kaltag	Alaska	"""Kaltag, Alaska"","	64.3305	-158.7243	"64.3305, -158.7243"			
US	Koyukuk	Alaska	"""Koyukuk, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Manley Hot Springs	Alaska	"""Manley Hot Springs, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Lake Minchumina	Alaska	"""Lake Minchumina, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Minto	Alaska	"""Minto, Alaska"","	65.0584	-149.6912	"65.0584, -149.6912"			
US	Nenana	Alaska	"""Nenana, Alaska"","	64.5577	-149.0867	"64.5577, -149.0867"			
US	Nulato	Alaska	"""Nulato, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Rampart	Alaska	"""Rampart, Alaska"","	65.509	-150.1619	"65.509, -150.1619"			
US	Ruby	Alaska	"""Ruby, Alaska"","	64.7201	-155.5039	"64.7201, -155.5039"			
US	Stevens Village	Alaska	"""Stevens Village, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Tanana	Alaska	"""Tanana, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Venetie	Alaska	"""Venetie, Alaska"","	67.0104	-146.4137	"67.0104, -146.4137"			
US	Chalkyitsik	Alaska	"""Chalkyitsik, Alaska"","	65.2264	-151.0251	"65.2264, -151.0251"			
US	Autaugaville	Alabama	"""Autaugaville, Alabama"","	32.4625	-86.7149	"32.4625, -86.7149"			
US	Billingsley	Alabama	"""Billingsley, Alabama"","	32.6106	-86.7163	"32.6106, -86.7163"			
US	Booth	Alabama	"""Booth, Alabama"","	32.5016	-86.5727	"32.5016, -86.5727"			
US	Marbury	Alabama	"""Marbury, Alabama"","	32.6841	-86.4946	"32.6841, -86.4946"			
US	Prattville	Alabama	"""Prattville, Alabama"","	32.4787	-86.43	"32.4787, -86.43"			
US	Jones	Alabama	"""Jones, Alabama"","	32.5104	-86.8138	"32.5104, -86.8138"			
US	Bay Minette	Alabama	"""Bay Minette, Alabama"","	30.8635	-87.7644	"30.8635, -87.7644"			
US	Bon Secour	Alabama	"""Bon Secour, Alabama"","	30.3128	-87.7431	"30.3128, -87.7431"			
US	Daphne	Alabama	"""Daphne, Alabama"","	30.6197	-87.8895	"30.6197, -87.8895"			
US	Spanish Fort	Alabama	"""Spanish Fort, Alabama"","	30.6959	-87.8867	"30.6959, -87.8867"			
US	Elberta	Alabama	"""Elberta, Alabama"","	30.3942	-87.589	"30.3942, -87.589"			
US	Fairhope	Alabama	"""Fairhope, Alabama"","	30.5012	-87.8835	"30.5012, -87.8835"			
US	Foley	Alabama	"""Foley, Alabama"","	30.4007	-87.6857	"30.4007, -87.6857"			
US	Gulf Shores	Alabama	"""Gulf Shores, Alabama"","	30.2717	-87.7589	"30.2717, -87.7589"			
US	Lillian	Alabama	"""Lillian, Alabama"","	30.3972	-87.4745	"30.3972, -87.4745"			
US	Little River	Alabama	"""Little River, Alabama"","	31.2246	-87.7548	"31.2246, -87.7548"			
US	Loxley	Alabama	"""Loxley, Alabama"","	30.618	-87.7562	"30.618, -87.7562"			
US	Magnolia Springs	Alabama	"""Magnolia Springs, Alabama"","	30.3998	-87.7726	"30.3998, -87.7726"			
US	Montrose	Alabama	"""Montrose, Alabama"","	30.5623	-87.9005	"30.5623, -87.9005"			
US	Orange Beach	Alabama	"""Orange Beach, Alabama"","	30.281	-87.5815	"30.281, -87.5815"			
US	Perdido	Alabama	"""Perdido, Alabama"","	31.0403	-87.6667	"31.0403, -87.6667"			
US	Point Clear	Alabama	"""Point Clear, Alabama"","	30.476	-87.9179	"30.476, -87.9179"			
US	Robertsdale	Alabama	"""Robertsdale, Alabama"","	30.5616	-87.6373	"30.5616, -87.6373"			
US	Seminole	Alabama	"""Seminole, Alabama"","	30.5048	-87.4659	"30.5048, -87.4659"			
US	Silverhill	Alabama	"""Silverhill, Alabama"","	30.5222	-87.7457	"30.5222, -87.7457"			
US	Stapleton	Alabama	"""Stapleton, Alabama"","	30.7476	-87.7787	"30.7476, -87.7787"			
US	Stockton	Alabama	"""Stockton, Alabama"","	31.0129	-87.8633	"31.0129, -87.8633"			
US	Summerdale	Alabama	"""Summerdale, Alabama"","	30.4752	-87.6992	"30.4752, -87.6992"			
US	Baker Hill	Alabama	"""Baker Hill, Alabama"","	31.7867	-85.2397	"31.7867, -85.2397"			
US	Clayton	Alabama	"""Clayton, Alabama"","	31.8874	-85.4509	"31.8874, -85.4509"			
US	Clio	Alabama	"""Clio, Alabama"","	31.6852	-85.5904	"31.6852, -85.5904"			
US	Eufaula	Alabama	"""Eufaula, Alabama"","	31.9051	-85.1656	"31.9051, -85.1656"			
US	Louisville	Alabama	"""Louisville, Alabama"","	31.7943	-85.5581	"31.7943, -85.5581"			
